,FullRawTextPCM,FullRawText,Arg1_RawText,Arg2_RawText,arg1_rawTextPCM_alignment,arg2_raw_textPCM_alignment,connective_rawTextPCM_alignment
11756,"But e dey good when people talk sey I be like sey I dey bend.
",But it's nice when people say  I appear mechanically inclined,But it's nice,people say I appear mechanically inclined,But e dey good sey,Text Not Found,when
11829,": Take heart, sport fans, e write. Real hero exist.
","Take heart, sports fans,"" he wrote. ""Real heroes exist","Take heart, sports fans",Real heroes exist,"Take heart, sport fans, exist.",: Real hero exist.,
11907,"Dem bomb distribution centre, and advertisers dey intimidate am.
","Distribution centers are bombed, and advertisers are intimidated",Distribution centers are bombed,advertisers are intimidated,"distribution centre, Dem bomb centre, am.",advertisers dey intimidate am.,and
11975,"Dat one fit grow if recession dey
",that could grow if there is a recession,that could grow,there is a recession,Dat fit grow,dey dey one recession,if
12092,": If you no, you no fit do your work.
","If you don't, you can't do your job",you can't do your job,you don't,you no work. do your work.,"you : no, fit",If
12116,"dey rent house when dem dey build am
",to rent while their home is being built,to rent,their home is being built,dey rent,dem house dey build am,when
12127,"I owe dat contractor, I really do di work.
",I owe that contractor. I really do,I owe that contractor,I really do,"I owe dat contractor, work.",I really do,
12131,"12Di ground dey shake under am 12 12
",The ground shakes underneath her. It is an aftershock,The ground shakes underneath her,It is an aftershock,12Di ground dey shake under 12Di am,12Di dey 12 12,
12140,"We dey talk policy limit, dis one wey be sey na about $250,000.
","We're talking policy limits."" In this case, that's about $250,000",We're talking policy limits,"In this case, that's about $250,000","We dey talk policy limit, dis $250,000.","na be limit, one wey sey about $250,000.","na be limit, one wey sey"
12145,"Generally, na only when something happen wey dey happen
",it generally pays only when there is a catastrophe,it generally pays,there is a catastrophe,"na Generally, Generally,",something happen wey dey happen,only when
12253,"If to say na 1949, Oga Boren go even succeed.
","If this were 1949, Mr. Boren might even succeed",Mr. Boren might even succeed,this were 1949,Oga Boren go even succeed.,"to say 1949,",If
12269,"Why the plan work? Na because dem dey support one side for politics
",Why was containment so successful? Because it had bipartisan support,Why was containment so successful,it had bipartisan support,Why the plan Na dey work?,dem support one side for politics,because
12380,"E no stop until e reach Jackson Hole, Wyo
","He didn't stop until he got to Jackson Hole, Wyo",He didn't stop,"he got to Jackson Hole, Wyo",E no stop,"e reach Jackson Hole, Wyo",until
12393,"Sey de no go dey waka if de no pay.
",that they won't stick around if they don't get paid,that they won't stick around,they don't get paid,pay. Sey Sey de no go waka,de dey no waka pay.,if
12468,"If e no break, no fix am!
","If it ain't broke, don't fix it",don't fix it,it ain't broke,no am! fix am!,"e no break,",If
12470,"where all of us go break break if no be fixed time
",where we all might go broke if it isn't fixed,where we all might go broke,it isn't fixed,where us all break go break,time of no be fixed,if
12497,"You fit do dat one, but you dey risk your life.
",You can do that but you're taking a risk,You can do that,you're taking a risk,"You fit do one,",you dey risk your life.,but
12594,"But dem never buy am finish o and IMA don buy am finish yesterday
",But they never materialized and IMA completed the purchase yesterday,But they never materialized,IMA completed the purchase yesterday,But dem never buy finish,IMA don finish buy yesterday,and
12741,"If dem no fit get back wetin dem first get, at least dem go get am back
","if they cannot be rehabilitated, at least to contain them",at least to contain them,they cannot be rehabilitated,at least dem get back,"dem no get fit back wetin get,",If
12774,"Ethiopia na one of the country wey get the highest number of goods and property.
","Imports of goods and services soared, while exports were flat",Imports of goods and services soared,exports were flat,Ethiopia number of goods and property. wey property.,country the get highest,the
12874,"Dat one na if di company report result well.
","That is, if the company reported results correctly",That is,the company reported results correctly,Dat one na,di company report result well.,if
12947,"Batiboth lack di polish of Sesame street. Sound stage dey echo.
","Batibot"" lacks the polish of ""Sesame Street."" Sound stages echo","Batibot"" lacks the polish of ""Sesame Street",Sound stages echo,Batiboth dey lack dey di polish of Sesame street. echo.,Sound stage echo.,
12948,"Sound stage dey play. Sometimes, e dey hard us to act
",Sound stages echo. Acting sometimes falls flat,Sound stages echo,Acting sometimes falls flat,Sound stage dey play.,"act Sometimes, us hard",
13024,"dey pay tax until dem finish the work
",to defer taxes until a project was completed,to defer taxes,a project was completed,dey dey pay tax,the work dem finish,until
13141,"Which two dey face serious wahala if person no realise di money.
",which both face serious cuts if the income isn't realized,which both face serious cuts,the income isn't realized,Which two face serious wahala,person money. Which no realise realise,if
13167,"Cutin go plenty again and na bribe go dey grow again
",the cuts will go deeper and incentives will sprout again,the cuts will go deeper,incentives will sprout again,na Cutin Cutin go plenty again,bribe dey go plenty grow again,and
13245,": Dis one na serious business o, we dey serious about capital gain matter wey fit cripple us.
",This is serious business; we're serious about a capital-gains reduction,This is serious business,we're serious about a capital-gains reduction,"one Dis serious business o,",we dey serious about cripple capital gain cripple us.,
13333,"Jehovah Word Go Last Forever
","If Sex Is Involved, All Bets Are Off",All Bets Are Off,Sex Is Involved,Word Go Forever,Jehovah Last,Jehovah
13353,": come back to the house wey deaver dey afta im suffer
",to come to the Deaver home after his troubles erupted,to come to the Deaver home,his troubles erupted,: come to the deaver dey house,dey im suffer,afta
13453,"Dat one too dey strong even if na democracy
","that is too strong, even if democratic",that is too strong,democratic,Dat one too dey strong,democracy,even if
13532,"We do mistake well well and we must do wetin we suppose do
",we really made mistakes. We must not shirk our responsibility,we really made mistakes,We must not shirk our responsibility,We do well mistake well and,we must do suppose we do,
13551,": gunned down with one sharp bullet while e dey ride go work
",gunned down by a stray bullet while cycling to work,gunned down by a stray bullet,cycling to work,gunned down with one sharp dey bullet,e ride go work,while
13644,"Wetin do am bad and wetin we suppose do about am
",what went wrong and what should be done about it,what went wrong,what should be done about it,Wetin am bad,wetin we suppose do about am,and
13708,"wetin dey profesai and wetin dey practice
",between what is professed and what is practiced,between what is professed,what is practiced,wetin dey dey profesai,wetin dey practice,and
13714,"If law nor dey against am, make una do am.
","If there is no law against it, do it",do it,there is no law against it,make am.,"dey dey nor law against am,",If
13716,": If law dey leave loophole, use am
","If the law leaves loopholes, use them",use them,the law leaves loopholes,use am,": law leave dey loophole,",If
13721,"Whether dem catch you or people complain you
",if you are caught or if people complain,if you are caught,if people complain,Whether you dem catch,Whether people complain,or
13723,"Sey everybody dey do am, or no one say make I no do am.
","that ""everyone does it"" or ""no one said I shouldn't","that ""everyone does it",no one said I shouldn't,"Sey everybody do am,",Sey no one say I no do am.,or
13726,"When evritin don finish and dem pin you for groun
",when all else has failed and you are pinned,when all else has failed,you are pinned,When evritin evritin don finish,you for pin groun,and
13736,"You mad because im dey collect so much money.
",You are mad because he's making so much money,You are mad,he's making so much money,You money. mad,im dey collect so much money.,because
14094,"We fit do this one, but e for cost.
","Such a deadline is attainable, but it would have costs",Such a deadline is attainable,it would have costs,"this one, cost. We do one,",e fit for cost.,but
14188,"Dose prospects come sing am Here Comes Santa Claus when e come.
","that prospects sang ""Here Comes Santa Claus"" when he approached","that prospects sang ""Here Comes Santa Claus",he approached,Dose prospects sing am Here Comes Santa Claus come.,come come.,when
14207,"de clean before police go waka
",to be cleaned before the police could arrive,to be cleaned,the police could arrive,de clean waka,police go waka,before
14258,"We dey issue paper money, we dey destroy paper money
",We issue paper money; we destroy paper money,We issue paper money,we destroy paper money,"We issue paper money,",we destroy paper money,
14264,"After dem don cool am, dem come rewap am.
","After cooling, the coins are then rewrapped",After cooling,the coins are rewrapped,"After cool am,",Text Not Found,dem
14284,"All im friend get children, and dem no fit born.
",All of their friends have children and they can't,All of their friends have children,they can't,"All born. im friend get children,",dem no fit born.,and
14381,"PBS time and time dey different so check the local listing
","PBS air dates and times vary, so check local listings",PBS air dates and times vary,check local listings,PBS dey time and time dey different,check local the listing,so
14449,": When computer change, Renaissance switch na im dey change.
","When the computer says switch, Renaissance switches",Renaissance switches,the computer says switch,Renaissance switch change.,": computer change, change, change.",When
14474,": Carry Yourself Down When You Dey Travel
",Charge With Caution When Traveling Abroad,Charge With Caution,Traveling Abroad,: Carry Yourself Down,You Travel Dey,When
14777,"Attack on Italian government if Rome no pay compensation
",attacks on Italians if Rome doesn't pay compensation,attacks on Italians,Rome doesn't pay compensation,Attack on Italian government,Rome no pay compensation,if
14796,"Call am anecdotal if you go like
",Call it anecdotal if you will,Call it anecdotal,you will,Call am anecdotal,you go,if
14860,"Dey use one room dey do di new work wey dem just start
",a room-rate war as the new projects open,a room-rate war,the new projects open,wey room dem just use,one new work start,Dey
14897,": If e approve, e shall sign am.
",If he approve he shall sign it,he shall sign it,he approve,e shall sign am.,"e approve,",If
14917,"But dem bliji the matter before dem fit take am go appeal court
",but Congress blinked before it could go to court,but Congress blinked,it could go to court,But matter bliji the,dem fit go appeal court,before
14971,"Na so too e still be when person start to study Bible with am.
",that is often whitish when taken from the ground,that is often whitish,taken from the ground,Na so still be am.,start study to Bible,when
14977,"APOSTLE PAUL for Europe when 1992 dey near
",CAPITAL TRAVELS to Europe as 1992 unification nears,CAPITAL TRAVELS to Europe,1992 unification nears,APOSTLE PAUL for Europe,1992 dey dey near,when
14991,"dey important because e fit carry stereo broadcaster
",considered technically superior because it can carry stereo broadcasts,considered technically superior,it can carry stereo broadcasts,dey dey broadcaster important,e fit carry stereo broadcaster,because
15075,"Dem dey always do customer study before dem fit use ship
",that their clients study each order before shipping,that their clients study each order,shipping,Dem do customer study always use,ship,before
15156,"More companies go dey interested as di project dey progress.
",more companies would become interested as the project progresses,more companies would become interested,the project progresses,More companies go dey interested,di project progress.,as
15209,"dey quick vex if another person try well well
",to be more aggressive if a second buy-out attempt occurs,to be more aggressive,a second buy-out attempt occurs,dey dey quick vex,another person vex well try well,if
15304,"Daiwa house na one of the place wey we dey stay before, but my house strong no be small.
","Daiwa House also ended easier, but Misawa Home was firmer",Daiwa House also ended easier,Misawa Home was firmer,"Daiwa house na stay before, small.",one my house be strong small.,but
15338,"Dem lose their life unless e change.
","Unless he changes, they lose",they lose,he changes,their lose,e change.,life unless
15345,"After Hugo strike Carolina and Caribbean island last month
",appropriated after Hugo struck the Carolinas and Caribbean last month,appropriated,Hugo struck the Carolinas and Caribbean last month,ALIGNMENT Error,Hugo strike Carolina island and Caribbean last month,After
15380,"Dem go quick stop to buy wetin dem dey sell
","who would rapidly turn over the product, thus increasing volatility",who would rapidly turn over the product,increasing volatility,Dem go quick stop buy to wetin sell,dem wetin dey,ALIGNMENT Error
15421,"Dem suffer am because dem sell am when e dey buy
",they suffered losses because they sold while he was buying,they suffered losses,they sold while he was buying,Dem suffer am,dem sell when e dey am buy,because
15422,"Because dem sell am when e dey buy
",because they sold while he was buying,because they sold,he was buying,Because dem sell,e dey am buy,when
15424,"and oders because dem buy am when e dey sell
",and others because they bought while he was selling,and others,they bought while he was selling,and oders,dem buy when e dey sell,because
15425,"Because dem buy am when e dey sell
",because they bought while he was selling,because they bought,he was selling,Because dem buy,e dey sell,when
15428,"Sey discussion don dey ground, no agreement still dey ground.
","that ""discussions are under way. There are no agreements yet","that ""discussions are under way",There are no agreements yet,"Sey Sey discussion don ground. ground, ground.","ground, dey no agreement still",
15484,"The money wey dem dey sell for market come small, but the money wey dem dey sell for market no too heavy
","Futures prices rose modestly, but trading volume wasn't very heavy",Futures prices rose modestly,trading volume wasn't very heavy,"The money come for small,",market market the wey no too heavy,but
15499,"Selling am climb pass 74 cents
",selling it when the price climbs more than 74 cents,selling it,the price climbs more than 74 cents,Selling Selling,climb pass 74 cents,am
15583,"Dem suppose release am before today go start
",due to be released before today's opening,due to be released,today's opening,Dem suppose suppose release,am today go start,before
15701,"If over capacity develop, de say no be everybody go suffer.
","If excess capacity develops, they say, not everyone will suffer",not everyone will suffer,excess capacity develops,no everybody go suffer.,"over capacity develop,",If
15721,"Thank goodness sey e dey happen, e for happen quick, quick.
",Thank goodness it's happening. It should have happened sooner,Thank goodness it's happening,It should have happened sooner,"Thank goodness sey e dey happen, quick.","e dey for happen quick, quick.",
15737,": To give pikin their own part of their life if e dey only small
",giving back a piece of their childhood if only temporarily,giving back a piece of their childhood,only temporarily,give pikin own part of their life,only small,if
15753,"Di net come fall three times, but EDS gain 16%.
","net fell 3.1%, but EDS's profit rose 16%",net fell 3.1%,EDS's profit rose 16%,"net fall three times, 16%.",Di EDS come gain 16%.,but
15766,"Di action come afta Senate don approve di new measure wey dem dey use pass.
",The action came after the Senate approved the House-passed measure,The action came,the Senate approved the House-passed measure,Di action come,don Senate approve new approve use pass. measure,afta
15855,"Sey TW fit, if necessary, cut capital spending
","that TW could, if necessary, cut capital spending",that TW could cut capital spending,necessary,Text Not Found,"necessary,",if
15894,"Market do better, but no be big comeback.
","The market acted better, but it wasn't a tremendous comeback",The market acted better,it wasn't a tremendous comeback,"comeback. Market do better,",no be big comeback.,but
15936,"While right fees wey dey go up, ad rate no go dey.
","While rights fees head skyward, ad rates won't",ad rates won't,rights fees head skyward,ad rate no go dey.,"right fees go wey up,",While
15946,"Dose deal fit turn sour if number one no work.
",those deals can turn sour if the numbers don't work,those deals can turn sour,the numbers don't work,Dose deal fit turn sour,Dose number one no work. work.,if
15950,"Dem lose the crown wey dem wear for entertainment, and dem need one person wey go help dem
","They lost the entertainment crown, and they needed one",They lost the entertainment crown,they needed one,"Dem lose the entertainment, crown entertainment,",dem need one,and
15974,": I no talk for me forever, and I no talk for any property.
","I didn't say forever, and I didn't say every property",I didn't say forever,I didn't say every property,"I no me property. talk forever,",I for no talk for any property.,and
15979,"Our competitor dem dey talk sey we no dey respect dem at all.
",Our competitors say we overbid them. Who cares,Our competitors say we overbid them,Who cares,Our competitor talk we competitor respect dem all.,dem dey all.,
16009,"If di show aint kill, de go don go.
","If the show ain't a killer, they're gone",they're gone,the show ain't a killer,de go don go.,"di show aint go. kill,",If
16036,"If replay go dey for four game win, loss fit make big difference.
","If the playoffs end in four-game sweeps, losses could soar",losses could soar,the playoffs end in four-game sweeps,loss make difference.,"replay replay go for four game big dey win, fit",If
16042,"When we dey do plenty work for congregation, e dey give us money.
",rates could rise later if ad spending surges,rates could rise later,ad spending surges,money. we give work,"for congregation, plenty money.",When
16259,"TPA dey sell quarter, quarter o.
",TPA sales are down quarter to quarter. Expenses are flat,TPA sales are down quarter to quarter,Expenses are flat,"TPA dey dey sell quarter, quarter, quarter o.",o.,
16260,"Expesin dey flat, and dat one na better sign.
",Expenses are flat and that's a good sign,Expenses are flat,that's a good sign,"Expesin dey flat,",dey dat na one better sign.,and
16331,"American people dey behave like Japan person
",Americans to behave as if they were Japanese,Americans to behave,they were Japanese,American dey behave,people person Japan,like dey
16333,": to do wetin Japan people dey do
",to conform to the Japanese culture when in Japan,to conform to the Japanese culture,in Japan,: wetin to do Japan people,wetin do,dey
16374,"APOSTLE PAUL, APOSTLE PAUL,
",saying anything more unless pressed to the wall,saying anything more,pressed to the wall,"APOSTLE PAUL, PAUL,","PAUL, PAUL, APOSTLE APOSTLE PAUL,","PAUL,"
16395,"As e dey roll for office, im talk come dey push am
",His rhetoric gathered momentum as he rolled into office,His rhetoric gathered momentum,he rolled into office,"im dey office, talk come push","e roll dey for office,",As
16452,"APOSTLE PAUL talk sey : “ If anybody dey stake one out of evry fifteen wey e get,
",to be swallowed if anyone amasses a 15% stake,to be swallowed,anyone amasses a 15% stake,"get, get, APOSTLE PAUL one",anybody dey evry out fifteen stake,If
16471,"We dey wear hat for body because everybody dey work
",wearing a hat to work because everyone else did,wearing a hat to work,everyone else did,wear body hat for work,everybody everybody dey,because
16483,"Wetin remain? Na natural gas price come dey fall.
","What's more, the takeover occurred as natural-gas prices were falling","What's more, the takeover occurred",natural-gas prices were falling,remain? fall. Na Wetin remain?,natural gas dey price come fall.,dey
16532,"Sey person fit buy am and sey another person fit buy am
",that equity can be bought and equity is bought,that equity can be bought,equity is bought,Sey person fit buy am,person fit buy,and
16589,"Some bank account don dey old, and the money wey dem dey contribute don expire
",As some securities mature and the proceeds are reinvested,As some securities mature,the proceeds are reinvested,"old, Some bank account contribute",the money wey expire,and
16620,"People wey dey sell things before, no dey change how dem dey price everyday
",that the retailer has avoided since switching to everyday pricing,that the retailer has avoided,switching to everyday pricing,"before, People dey price wey wey sell",change how things everyday dey,"before,"
16735,"Industry : When water weak, e de protect dem
","When industries were weak, it protected them",it protected them,industries were weak,de protect dem,"Industry water weak,",When
16773,"If you be salaried, Amen!
","If you are a salaried man, Amen! 100% captured",Amen! 100% captured,you are a salaried man,Amen!,"you be salaried, salaried,",If
16775,"If na person wey dey sell something, na 50%
","If you are a retailer, 50%",50%,you are a retailer,50%,"person wey na sell something,",If
16783,"Dem na 103 or 206.
",They were 103 or 206. Pockets exploded with one-yen coins,They were 103 or 206,Pockets exploded with one-yen coins,Dem na 103 or 206.,ALIGNMENT Error,
16812,"If diamond dey dere, we go reach dem.
","If there's diamonds out there, we'll get to them",we'll get to them,there's diamonds out there,we go dem. reach dem.,"dey diamond dere, dere,",If
17013,"I get 70 kind of apple. See Waltana.
",I've got 70 kinds of apples. Here's a Waltana,I've got 70 kinds of apples,Here's a Waltana,I get 70 kind of apple.,See Waltana. Waltana.,
17015,"scowls and throw am down. Na real dog.
","scowls and throws it down. ""It's a real dog",scowls and throws it down,It's a real dog,scowls and throw am down.,dog. Na real dog.,
17029,"Once person chop one, hook dey hook am
","Once somebody eats one, they get hooked",they get hooked,somebody eats one,hook dey hook,"person hook chop one,",Once
17089,"dey pay am back wen di student don graduate
",paying it back when the student graduates,paying it back,the student graduates,pay dey back,di student graduate,don
17108,": Loan guarantee no dey again until person wey dey borrow come dey owe.
",Loan guarantees don't appear at all until the borrower defaults,Loan guarantees don't appear at all,the borrower defaults,Loan guarantee : no wey come again dey,person dey borrow dey owe.,until
17207,"until the matter don finish and God go judge the matter
",until the trial is completed and judgment entered,until the trial is completed,judgment entered,until the matter go finish,God matter,and
17243,"We dey sell some of our property wey be sey we go need to buy am back when time reach
",by selling borrowed shares that are to be replaced later,by selling borrowed shares,that are to be replaced,We sell some of our property,we wey to be buy,reach
17249,"Intel short interest jump 42% while Campeau own increase 62%.
","Intel's short interest jumped 42%, while Campeau's increased 62%",Intel's short interest jumped 42%,Campeau's increased 62%,Intel short interest jump 42% 62%.,Campeau own increase 62%.,while
17251,"Intel dey do IUD wey dem dey call “ IUD ” and Campeau dey do department store.
",Intel makes semiconductors and Campeau operates department-store chains,Intel makes semiconductors,Campeau operates department-store chains,Intel do IUD wey IUD,Campeau do call department store. store.,and
17268,"Jerusalem go be Belfast before e go be Lebanon again
",Jerusalem will become Belfast before it becomes Beirut,Jerusalem will become Belfast,it becomes Beirut,Jerusalem go be Belfast,go be Lebanon,before
17287,"Dem dey do like sey dem dey buy something, when price come dey shake anyhow
",they are forced to assume when prices swing so drastically,they are forced to assume,prices swing so drastically,"Dem something, buy do shake","price come anyhow something, shake anyhow",when
17289,"We go dey do wetin go show sey we dey always buy and sell when we get problem
",to maintain orderly trading when imbalances occur,to maintain orderly trading,imbalances occur,We buy always and sell,show we problem get,when
17379,"Communists froze price instead, farmers do boycott.
",The Communists froze prices instead. The farmers ran a boycott,The Communists froze prices instead,The farmers ran a boycott,"Communists froze price instead, boycott.","instead, farmers do boycott.",
17388,"Farmer no vex o, dem still dey vex
",The farmers stayed angry. They still are,The farmers stayed angry,They still are,"o, Farmer no o, dey",dem still vex,
17396,"Sey feed no dey, sey you no fit buy anything now.
","There's no feed,"" he says. ""You can't buy anything nowadays",There's no feed,You can't buy anything nowadays,"Sey sey no feed dey,","you no fit buy anything dey, sey now.",
17397,"You no fit buy anything now, I no know why.
",You can't buy anything nowadays. I don't know why,You can't buy anything nowadays,I don't know why,"You no fit buy anything now, why.",I no know why.,
17400,"Asbestos (wey dem build for U.S.S.R.
",Asbestos. Made in U.S.S.R,Asbestos,Made in U.S.S.R,Asbestos (wey,build for U.S.S.R.,
17402,"E go fine o, e no go cost.
",It's nice! It won't be cheaper,It's nice,It won't be cheaper,"E go fine o,",e no go cost.,
17403,"We no go dey sell direct!
",It won't be cheaper! We sell direct,It won't be cheaper,We sell direct,no go dey direct!,We sell direct!,
17406,"Dem no fit buy feed from state to state, food no dey to chop beleful.
",They can't buy feed from the state. There isn't enough,They can't buy feed from the state,There isn't enough,"state, no fit to buy feed from state state, beleful.",Dem no chop food,
17409,"I sell small, I dey wait small.
",I sell -- a little. I am waiting,I sell -- a little,I am waiting,"I sell small, dey small.",I dey wait,
17410,"I dey wait, I get plenty work to do for my house.
",I am waiting. I have plenty more at home,I am waiting,I have plenty more at home,"I dey wait, house.",I get plenty work for house.,
17419,"“Dem get many pipol and dem get propaty well-well.
","There are a lot of them, and they have property",There are a lot of them,they have property,“Dem get well-well. many pipol pipol well-well.,dem get propaty,and
17423,"Chinese don show me and Soviet people dey learn
",As the Chinese have shown and the Soviets are learning,As the Chinese have shown,the Soviets are learning,me Chinese don show,dey Soviet people dey learn,and
17436,"Farmers stand for front of bulldozers so that dem no go hear their kry for help
",Farmers lay down before the bulldozers. Their protest was ignored,Farmers lay down before the bulldozers,Their protest was ignored,Farmers stand for front of bulldozers so,their kry for no go help,
17439,"Oga Pyszkiewicz smile well well and im head come dey vex
",Mr Pyszkiewicz smiles and his brow furrows,Mr Pyszkiewicz smiles,his brow furrows,Oga Pyszkiewicz smile,im head dey come vex,and
17442,": No phone, no gas.
",No phones. No gas,No phones,No gas,"No phone, gas.",no gas.,
17445,"Dem start am, den dem leave am.
","They started, and then abandoned it",They started,and abandoned it,"Dem start am,",Text Not Found,dem
17448,": Na Russia, for noting.
",It's Russian. Good for nothing,It's Russian,Good for nothing,": Na Russia, noting.","Russia, for noting.",
17449,"Good for nothing! Part of the world go soon end
",Good for nothing. Parts are a tragedy,Good for nothing,Parts are a tragedy,Good for nothing!,Part go the of world end,
17489,"Felix Siemienas dey kill am now o, e dey pack pork.
",Felix Siemienas is destroying it now. He packs pork,Felix Siemienas is destroying it now,He packs pork,Felix Siemienas dey kill am now pork.,e dey pack pork.,
17492,": E cashed in, Poland is short on top of enterprises, not on top of enterprises.
","He cashed in. Poland is short on enterprises, not enterprise",He cashed in,"Poland is short on enterprises, not enterprise","E cashed in, enterprises.","Poland is short on enterprises, not enterprises.",
17497,"I no dey subsidize anybody, everybody wey dey around me, e dey live well.
",I don't subsidize anyone. Everyone around me lives well,I don't subsidize anyone,Everyone around me lives well,"I no dey subsidize anybody, well.","everybody around me, live well.",
17498,"Everybody wey dey around me dey live well, yes my price dey high.
","Everyone around me lives well. Yes, my prices are high",Everyone around me lives well,"Yes, my prices are high","Everybody wey around me live well, high.","well, yes my price dey high.",
17500,"If nobody buy, I go bring my money down.
","If nobody buys, I bring my prices down",I bring my prices down,nobody buys,I bring my money down.,"nobody buy, go",If
17502,"Na di rule be dat, na market.
",That's the rule. That's the market,That's the rule,That's the market,Na be di rule market.,"dat, na market.",
17507,"If di tin change, I go hook up with dem.
","If the situation changes, I'll get stuck with them",I'll get stuck with them,the situation changes,I go dem. hook hook up with dem.,"di tin change,",If
17527,"Naczelnik avert im eye, wetin you get?
","The naczelnik averts his eyes. ""What have you got",The naczelnik averts his eyes,What have you got,"im Naczelnik avert eye,",wetin get? wetin you get?,
17530,"Farmer dey ready to go; naczelnik dey ready to go too.
","The farmer stands to go. The naczelnik stands, too",The farmer stands to go,"The naczelnik stands, too",to Farmer ready to go; too.,go; naczelnik ready go too.,too.
17535,"I don do plenty work, de wan do more.
",I have accomplished too much. They want to do more,I have accomplished too much,They want to do more,"I don work, plenty plenty more.",de wan do do more.,
17537,"Farmer go leave en farm and naczelnik go lock en door.
",The farmer leaves. And the naczelnik shuts his door,The farmer leaves,the naczelnik shuts his door,go Farmer leave door.,and naczelnik go lock en door.,en
17699,"Toh de fit con audition for dere now. Good luck.
","Well, they can now go and audition there. Good luck","Well, they can now go and audition there",Good luck,Toh dere de now. fit con audition for now.,Good luck.,
17749,"Cray make announcement after stock market close
",Cray made its announcement after the stock market closed,Cray made its announcement,the stock market closed,Cray make announcement,stock market close,after
17784,"Dem sell am for six month, as dem allow am
","and sold six months later, as soon as allowed",and sold six months later,allowed,"Dem sell six month, for month,",am,as allow dem
17953,": If you dey road, na you dey drive.
",if you're on the road and you're the one responsible,if you're on the road,you're the one responsible,"If : you dey drive. dey road,",you dey na drive.,"road,"
17961,"E no dey increase gain, but e dey costly, and time dey consume am.
","It doesn't increase benefits, but it's costly and time-consuming",It doesn't increase benefits,it's costly and time-consuming,"E no dey increase gain,","e dey costly, and time dey consume am.",but
18010,"ESB people wey dey direct the work really accept wetin dem dey do, but breeze wey dey blow dey follow dem do am
","ESB directors warmly accepted, but a whirlwind bidding match ensued",ESB directors warmly accepted,a whirlwind bidding match ensued,"ESB people wey really accept do,",the breeze wey work dey follow wetin do am,but
18016,"United come meet $38 but na later dem come drop am
",United met the $38 but then withdrew,United met the $38,but withdrew,United come meet $38,Text Not Found,come
18068,"Munch Pizza (when e fit)
",Munching pizza when they could,Munching pizza,they could,Munch fit) Pizza (when,e fit),(when
18069,"12So dem kon start to kry until dem start to tok.12
",and yelling until their voices gave out,and yelling,their voices gave out,12So kry,dem start to tok.12,until
18132,"“ E go sweet you well well if na your horse be dat
",how exciting that would be if that's your horse,how exciting that would be,that's your horse,well E sweet you go well,na be dat your horse,if
18290,"Di agency vex for di complain, but dem no report am at all.
",The agency investigated the complaints but no violations were cited,The agency investigated the complaints,no violations were cited,"Di agency for complain, complain,",no report all. am all.,but
18426,"After market close Monday
",announced after the market closed Monday,announced,the market closed Monday,ALIGNMENT Error,market close Monday,After
18452,"De dey check in, but de no fit check out.
","They check in, but they can't check out",They check in,they can't check out,"De check in,",out. de no fit check out.,but
18468,"‘ To kill dem if di market price wey dey market don ready
",to execute them if the market hits a predetermined price,to execute them,the market hits a predetermined price,To ‘ kill don dem,di market ready market wey dey price,if
18487,"If na im bad pass, den more sell fit follow am
",if it is worse then more selling could ensue,it is worse,more selling could ensue,"na pass, bad",more sell fit follow am,Text Not Found
18550,"This one bad well well after person start to dey owe
",that went bad after piling on debt,that went bad,piling on debt,This one bad,well start to person,after
18653,"Credibility na intangible, but I think sey we don dey lose credibility.
",Credibility sounds intangible. But I think we are losing credibility,Credibility sounds intangible,I think we are losing credibility,"Credibility na intangible, credibility.",I think we don lose credibility.,but
18703,"Which one better pass? So, we go talk about am as safe
",which are higher in quality and thus considered safe,which are higher in quality,and considered safe,Which one better Which pass?,Text Not Found,"So,"
18821,"Sun don gain gain because Mobil, Shell and Chevron no dey again
","Sun posted a gain. Mobil, Shell and Chevron had declines",Sun posted a gain,"Mobil, Shell and Chevron had declines",Sun don gain gain because,"Mobil, Shell and Chevron no dey again",
18832,"Tear full one pikin body come out and im DNA come out
","One cell was teased out, and its DNA extracted",One cell was teased out,its DNA extracted,one body come Tear full out,im DNA come out,and
18840,"and when we die, we dey happy
",and returned if healthy,and returned,healthy,"and die,",happy,when
18841,"or trowey.
",or discarded if not,or discarded,not,or trowey.,trowey.,if
18846,"and many company don stop to do this kind research. But Phillips no gree.
",and most companies abandoned such research.  But Phillips persisted,and most companies abandoned such research,Phillips persisted,and many company do this research.,gree.,Phillips
18859,": see di dancers wey dey shine for upstair
",seen in disco dancers when a strobe light is flashing,seen in disco dancers,a strobe light is flashing,: see di dancers,dey shine upstair shine wey upstair,for
18879,"But dem report am after market close
",but the results were reported after the market closed,but the results were reported,the market closed,But dem report am,market close,after
19113,"for wetin dem do wey no be our country?
",for acts committed while not British citizens,for acts committed,not British citizens,for wetin be,no our country?,wey
19139,"ONE sister wey im name na Edith Brenisen, dey among the people wey dey photograph earthquake for San Francisco
",to take care when photographing earthquake damage in San Francisco,to take care,photographing earthquake damage in San Francisco,"Brenisen, dey name",Edith photograph earthquake people for San Francisco,sister
19206,"This one dey make dem sell their business because dem dey chop.
",A sinking economy depresses corporate earnings and thus stock prices,A sinking economy depresses corporate earnings,and stock prices,This one chop. dem dey make dey their business chop.,Text Not Found,dem
